mode,comparison,left_stage,right_stage,left_edit_path,right_edit_path,edit_ssim,edit_psnr,edit_mse,edit_l2,arcface_edit_cosine_similarity
baseline_control,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/vae_reconstruction_edit.png,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9840707182884216
baseline_control,neutral_geometry_resampling_on_original,clean_edit,neutral_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/neutral_geometry_on_original_edit.png,0.9876954555511475,43.90797254831111,4.066331166541204e-05,0.006376779098056638,0.995842456817627
baseline_control,neutral_geometry_resampling_after_reconstruction,vae_reconstruction,neutral_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/neutral_geometry_on_reconstruction_edit.png,0.999630868434906,60.28977452895511,9.354542385153763e-07,0.0009671888329149466,0.9999345541000366
geometry_only_original,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/vae_reconstruction_edit.png,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9840707182884216
geometry_only_original,delta_increment_after_reconstruction,vae_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/learned_delta_only_edit.png,1.0,inf,0.0,0.0,1.0000001192092896
geometry_only_original,geometry_on_original_effect,clean_edit,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/learned_geometry_on_original_edit.png,0.7589476704597473,22.374935727393858,0.005787705536931753,0.07607697113405444,0.6737717390060425
geometry_only_original,geometry_on_reconstruction_effect,vae_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/learned_geometry_on_reconstruction_edit.png,0.7804086208343506,22.28878672822853,0.005903659854084253,0.07683527740617752,0.7014098763465881
geometry_only_original,geometry_increment_after_delta,learned_delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/learned_combined_edit.png,0.7804086208343506,22.28878672822853,0.005903659854084253,0.07683527740617752,0.7014098763465881
geometry_only_original,order_effect,learned_combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_original/geometry_then_vae_reconstruction_edit.png,0.8959129452705383,31.57605721920312,0.0006956555880606174,0.02637528365839157,0.957802414894104
geometry_only_reconstruction,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_diffgeom/geometry_only_reconstruction/vae_reconstruction_edit.png,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9840707182884216
